 author_date_unix_timestamp numeric,commit_type numeric,--,bug,-,ns,nd,nf,entrophy ,la,ld,lt,fix,ndev ,age,nuc,exp,rexp,sexp
 1210609579,"2
",--,1.0,-,1,1,2,0.999856899,71,0,0,0,0,0,0,0,0,0
 1210609713,"1
",--,1.0,-,1,1,2,0.721928095,15,0,0,0,0,0,0,1,1,0
1217521579,"3
",--,1.0,-,1,1,2,0.999856899,71,0,0,0,0,0,0,0,0,0
1218149529,"0
",--,0.0,-,1,1,1,0,2,0,42,0,1,7.559861111,1,3,0.653846154,1
 1224028358,"1
",--,1.0,-,1,1,3,1.284777238,18,11,13.33333333,0,1,50.40124228,1,4,0.277865613,2
 1238696214,"1
",--,1.0,-,1,1,1,0,2,2,12,0,1,325.0752431,1,5,0.139742734,1
 1238833451,"1
",--,1.0,-,1,1,2,1,3,1,7.5,0,1,164.1260127,2,0,0,0
 1238870064,"2
",--,1.0,-,1,1,1,0,2,2,44,0,1,239.8210069,1,1,1,0
1238871849,"0
",--,0.0,-,1,1,1,0,1,1,44,0,2,0.020659722,1,2,2,1
1238956464,"3
",--,1.0,-,1,1,1,0,2,2,44,0,1,239.8210069,1,1,1,0
1249928336,"0
",--,0.0,-,1,1,1,0,2,0,44,0,2,127.9685995,1,6,0.143576866,3
 1253217435,"1
",--,1.0,-,2,2,6,1.991465044,81,17,15,0,2,146.7037751,3,7,0.28915189,3
1253217472,"0
",--,0.0,-,1,1,1,0,4,0,43,0,1,0.000428241,1,8,1.28915189,3
1253231558,"3
",--,1.0,-,1,1,3,1.284777238,18,11,13.33333333,0,1,50.40124228,1,4,0.277865613,2
1253262251,"3
",--,1.0,-,1,1,2,1,3,1,7.5,0,1,164.1260127,2,0,0,0
1253291313,"3
",--,1.0,-,1,1,2,0.721928095,15,0,0,0,0,0,0,1,1,0
1253297814,"3
",--,1.0,-,1,1,1,0,2,2,12,0,1,325.0752431,1,5,0.139742734,1
 1257805310,"2
",--,1.0,-,2,2,8,2.439896201,292,53,18.875,0,2,33.18769965,2,9,0.425929058,4.5
1257805431,"0
",--,0.0,-,1,1,1,0,7,0,94,0,1,0.001400463,1,10,1.425929058,5
 1257806233,"2
",--,1.0,-,1,1,2,0.954434003,6,2,99,0,1,0.01068287,1,11,2.425929058,6
1257806457,"0
",--,0.0,-,1,1,1,0,11,2,121,0,1,0.002592593,1,12,3.425929058,7
 1257808837,"2
",--,1.0,-,1,1,1,0,1,1,47,0,1,0.040821759,1,13,4.425929058,8
 1257866528,"2
",--,1.0,-,2,2,6,2.033339302,97,11,50.83333333,0,2,65.85544946,5,14,5.425929058,7.5
 1257866692,"2
",--,1.0,-,1,1,1,0,2,2,168,0,1,0.001898148,1,15,6.425929058,10
1257866806,"0
",--,0.0,-,1,1,1,0,3,2,130,0,1,0.003217593,1,16,7.425929058,7
1257868672,"0
",--,0.0,-,1,1,1,0,28,17,168,0,1,0.022916667,1,17,8.425929058,11
1257868743,"0
",--,0.0,-,1,1,1,0,1,1,179,0,1,0.000821759,1,18,9.425929058,12
1257869129,"0
",--,0.0,-,1,1,1,0,2,2,179,0,1,0.004467593,1,19,10.42592906,13
 1257869199,"2
",--,1.0,-,1,1,1,0,4,4,179,0,1,0.000810185,1,20,11.42592906,14
 1257869756,"2
",--,1.0,-,1,1,2,1,3,1,89.5,0,1,0.021903935,2,21,12.42592906,15
1257869869,"0
",--,0.0,-,1,1,1,0,1,0,181,0,1,0.00130787,1,22,13.42592906,16
 1257873668,"2
",--,1.0,-,2,2,7,2.106694515,196,81,67.85714286,0,1,0.159206349,5,23,14.42592906,12.5
1257874365,"0
",--,0.0,-,1,1,1,0,1,1,166,0,1,0.00806713,1,24,15.42592906,9
1257891710,"3
",--,1.0,-,2,2,8,2.439896201,292,53,18.875,0,2,33.18769965,2,9,0.425929058,4.5
1257892633,"3
",--,1.0,-,1,1,2,0.954434003,6,2,99,0,1,0.01068287,1,11,2.425929058,6
1257895237,"3
",--,1.0,-,1,1,1,0,1,1,47,0,1,0.040821759,1,13,4.425929058,8
1257952928,"3
",--,1.0,-,2,2,6,2.033339302,97,11,50.83333333,0,2,65.85544946,5,14,5.425929058,7.5
1257953092,"3
",--,1.0,-,1,1,1,0,2,2,168,0,1,0.001898148,1,15,6.425929058,10
1257955599,"3
",--,1.0,-,1,1,1,0,4,4,179,0,1,0.000810185,1,20,11.42592906,14
1257956156,"3
",--,1.0,-,1,1,2,1,3,1,89.5,0,1,0.021903935,2,21,12.42592906,15
 1258153070,"2
",--,1.0,-,1,1,6,1.52413111,108,8,68,0,2,2.708622685,2,25,16.39644539,18
1258219268,"3
",--,1.0,-,2,2,7,2.106694515,196,81,67.85714286,0,1,0.159206349,5,23,14.42592906,12.5
1258398008,"0
",--,0.0,-,1,1,2,0.721928095,2,3,123.5,0,1,2.834930556,1,26,17.39136703,19
1259002588,"0
",--,0.0,-,1,1,1,0,1,1,177,0,1,6.997453704,1,27,9.863043138,20
 1259177612,"1
",--,1.0,-,1,1,1,0,2,2,68,0,1,11.858125,1,0,0,0
1259189870,"3
",--,1.0,-,1,1,6,1.52413111,108,8,68,0,2,2.708622685,2,25,16.39644539,18
1262726363,"0
",--,0.0,-,2,2,2,0.630506239,9,92,171.5,0,1,49.62831597,2,28,2.431549819,15.5
1262840430,"0
",--,0.0,-,1,1,1,0,1,1,0,0,1,54.25185185,1,29,3.431309434,22
1263239190,"0
",--,0.0,-,1,1,2,0.391243564,13,0,96.5,0,1,55.56784722,2,0,0,0
1263506338,"0
",--,0.0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264716431,"0
",--,0.0,-,1,1,1,0,3,2,28,0,2,17.09769676,1,30,2.340452133,23
1264716717,"0
",--,0.0,-,1,1,1,0,1,1,29,0,2,0.003310185,1,31,3.340452133,24
1264716920,"0
",--,0.0,-,1,1,2,1,2,2,34.5,0,1,47.42709491,2,32,4.340452133,25
1264717202,"0
",--,0.0,-,1,1,1,0,2,2,29,0,2,0.005613426,1,33,5.340452133,26
1264717500,"0
",--,0.0,-,1,1,2,1,6,2,49,0,2,0.005081019,2,34,6.340452133,27
1264718299,"0
",--,0.0,-,1,1,1,0,1,1,73,0,1,0.009247685,1,35,7.340452133,28
1264718829,"0
",--,0.0,-,1,1,1,0,1,1,73,0,1,0.006134259,1,36,8.340452133,29
1267828841,"0
",--,0.0,-,1,1,1,0,7,7,73,0,1,35.99550926,1,37,2.714177739,30
1267832960,"0
",--,0.0,-,1,3,6,2.289218977,86,13,17,0,2,6.017706404,2,38,3.710501269,31
 1267843111,"2
",--,1.0,-,1,1,2,0.522559375,8,9,58,0,2,0.117488426,1,39,4.710501269,32
 1268286418,"2
",--,1.0,-,2,3,11,2.175882298,132,37,52.90909091,0,3,63.98550505,7,40,5.626668644,22
1268949306,"0
",--,0.0,-,2,2,2,0.625262405,8,24,88,0,1,7.672314815,1,41,4.376274562,23
1270083957,"0
",--,0.0,-,1,1,1,0,0,2,92,0,1,20.80484954,1,42,3.612286161,35
1270084493,"0
",--,0.0,-,1,1,1,0,6,2,170,0,1,20.81105324,1,43,4.612286161,36
